# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-4.822983e-04	9.787440e-01	-1.194062e-03	-1.079329e-03	-1.147325e-04
2             	-1.337976e-03	1.764637e+00	-3.596288e-03	-3.136120e-03	-4.601685e-04
3             	-1.861938e-03	2.394445e+00	-5.417787e-03	-4.570831e-03	-8.469555e-04
4             	-2.075063e-03	2.572208e+00	-5.056954e-03	-4.603540e-03	-4.534138e-04
5             	-1.743882e-03	2.393832e+00	-1.935635e-03	-2.711700e-03	7.760650e-04
6             	-1.200001e-03	2.047689e+00	2.311365e-03	-4.431849e-05	2.355684e-03
7             	-7.073409e-04	1.701643e+00	5.761092e-03	2.173205e-03	3.587887e-03
8             	-3.790907e-04	1.468156e+00	6.809583e-03	3.025701e-03	3.783882e-03
9             	-8.758252e-06	1.369449e+00	5.164031e-03	2.573257e-03	2.590774e-03
10            	2.591354e-04	1.373742e+00	2.299586e-03	1.408929e-03	8.906577e-04
11            	2.789472e-04	1.432121e+00	-6.563742e-04	-4.923989e-05	-6.071343e-04
12            	1.025030e-04	1.501592e+00	-2.818634e-03	-1.306814e-03	-1.511820e-03
13            	-1.080975e-04	1.555327e+00	-3.961585e-03	-2.088890e-03	-1.872695e-03
14            	-2.738236e-04	1.582271e+00	-3.578976e-03	-2.063312e-03	-1.515665e-03
15            	-4.013248e-04	1.582069e+00	-2.076213e-03	-1.439431e-03	-6.367818e-04
16            	-3.963804e-04	1.562899e+00	-3.786213e-04	-5.856910e-04	2.070697e-04
17            	-2.948567e-04	1.534896e+00	1.144910e-03	2.775981e-04	8.673115e-04
18            	-1.510724e-04	1.508351e+00	2.008506e-03	8.531804e-04	1.155325e-03
19            	-4.815866e-05	1.489976e+00	2.108446e-03	1.006064e-03	1.102382e-03
20            	3.719098e-05	1.479328e+00	1.717727e-03	8.960545e-04	8.216725e-04
21            	1.159161e-04	1.474180e+00	1.175949e-03	7.038904e-04	4.720581e-04
22            	1.741499e-04	1.471636e+00	7.222877e-04	5.352938e-04	1.869940e-04
23            	1.875944e-04	1.469247e+00	3.581642e-04	3.666765e-04	-8.512234e-06
24            	1.402804e-04	1.466256e+00	-1.057867e-05	1.349911e-04	-1.455697e-04
25            	1.344725e-04	1.462120e+00	-1.121133e-04	7.841586e-05	-1.905291e-04
26            	1.124960e-04	1.458018e+00	-1.447411e-04	4.012548e-05	-1.848666e-04
27            	8.009404e-05	1.455013e+00	-1.584545e-04	8.667708e-07	-1.593213e-04
28            	4.361677e-05	1.454741e+00	-2.301070e-04	-7.143675e-05	-1.586703e-04
29            	-9.375611e-06	1.458007e+00	-4.302159e-04	-2.244836e-04	-2.057323e-04
30            	-3.859291e-06	1.463901e+00	-5.858141e-04	-2.967664e-04	-2.890478e-04
31            	-1.464019e-05	1.472140e+00	-7.212131e-04	-3.752467e-04	-3.459663e-04
32            	-1.198888e-05	1.482061e+00	-8.014654e-04	-4.127216e-04	-3.887438e-04
33            	2.154935e-06	1.493006e+00	-8.310050e-04	-4.133476e-04	-4.176575e-04
34            	2.574856e-05	1.504356e+00	-8.265731e-04	-3.875380e-04	-4.390351e-04
35            	2.902130e-05	1.515603e+00	-8.740105e-04	-4.079839e-04	-4.660265e-04
36            	4.461833e-06	1.527145e+00	-9.138753e-04	-4.524758e-04	-4.613995e-04
37            	-2.875787e-05	1.538877e+00	-8.712561e-04	-4.643859e-04	-4.068702e-04
38            	-1.055817e-04	1.549530e+00	-8.000047e-04	-5.055841e-04	-2.944207e-04
39            	-2.110627e-04	1.558557e+00	-6.105658e-04	-5.163456e-04	-9.422017e-05
40            	-2.466696e-04	1.566228e+00	-3.598497e-04	-4.265945e-04	6.674475e-05
41            	-2.413664e-04	1.572602e+00	-1.506797e-04	-3.167062e-04	1.660265e-04
42            	-2.101702e-04	1.577843e+00	-2.024526e-04	-3.113965e-04	1.089439e-04
43            	-1.620093e-04	1.582116e+00	-3.153518e-04	-3.196852e-04	4.333422e-06
