# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (7.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
25.0005       	-8.343115e-02	8.168752e-01	4.760525e-02	-5.962852e-02	1.072338e-01
25.001        	-8.356158e-02	8.168192e-01	4.738068e-02	-5.987124e-02	1.072519e-01
25.0015       	-8.363292e-02	8.169508e-01	4.704191e-02	-6.011197e-02	1.071539e-01
25.002        	-8.375480e-02	8.169423e-01	4.676249e-02	-6.037356e-02	1.071360e-01
25.0025       	-8.381463e-02	8.169657e-01	4.648962e-02	-6.056981e-02	1.070594e-01
25.003        	-8.380594e-02	8.166378e-01	4.627888e-02	-6.066650e-02	1.069454e-01
25.0035       	-8.394734e-02	8.168727e-01	4.592395e-02	-6.098536e-02	1.069093e-01
25.004        	-8.397235e-02	8.166323e-01	4.580462e-02	-6.107004e-02	1.068747e-01
25.0045       	-8.417746e-02	8.169224e-01	4.545299e-02	-6.145097e-02	1.069040e-01
25.005        	-8.419685e-02	8.167751e-01	4.504754e-02	-6.167308e-02	1.067206e-01
25.0055       	-8.431494e-02	8.169506e-01	4.460152e-02	-6.201418e-02	1.066157e-01
25.006        	-8.433363e-02	8.167348e-01	4.453089e-02	-6.206818e-02	1.065991e-01
25.0065       	-8.443749e-02	8.167821e-01	4.425551e-02	-6.230974e-02	1.065652e-01
25.007        	-8.451908e-02	8.167425e-01	4.387012e-02	-6.258402e-02	1.064541e-01
25.0075       	-8.465959e-02	8.168874e-01	4.354549e-02	-6.288684e-02	1.064323e-01
25.008        	-8.478187e-02	8.168501e-01	4.322070e-02	-6.317152e-02	1.063922e-01
25.0085       	-8.489901e-02	8.169113e-01	4.299398e-02	-6.340201e-02	1.063960e-01
25.009        	-8.498924e-02	8.168242e-01	4.262846e-02	-6.367501e-02	1.063035e-01
25.0095       	-8.503093e-02	8.166345e-01	4.260589e-02	-6.372798e-02	1.063339e-01
25.01         	-8.516584e-02	8.166763e-01	4.217379e-02	-6.407895e-02	1.062527e-01
25.0105       	-8.523728e-02	8.167127e-01	4.211582e-02	-6.417936e-02	1.062952e-01
25.011        	-8.540912e-02	8.168662e-01	4.151808e-02	-6.465008e-02	1.061682e-01
25.0115       	-8.548269e-02	8.168926e-01	4.136862e-02	-6.479838e-02	1.061670e-01
25.012        	-8.561352e-02	8.169473e-01	4.089951e-02	-6.516376e-02	1.060633e-01
25.0125       	-8.560784e-02	8.167384e-01	4.063745e-02	-6.528912e-02	1.059266e-01
25.013        	-8.577367e-02	8.167732e-01	4.025389e-02	-6.564673e-02	1.059006e-01
25.0135       	-8.583863e-02	8.167020e-01	4.020251e-02	-6.573737e-02	1.059399e-01
25.014        	-8.604058e-02	8.168781e-01	3.971087e-02	-6.618514e-02	1.058960e-01
25.0145       	-8.611154e-02	8.168835e-01	3.962616e-02	-6.629847e-02	1.059246e-01
25.015        	-8.623971e-02	8.168549e-01	3.936836e-02	-6.655553e-02	1.059239e-01
25.0155       	-8.628706e-02	8.168451e-01	3.914933e-02	-6.671239e-02	1.058617e-01
25.016        	-8.643783e-02	8.168839e-01	3.872187e-02	-6.707690e-02	1.057988e-01
25.0165       	-8.653366e-02	8.169859e-01	3.854519e-02	-6.726107e-02	1.058063e-01
