# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	1.491761e-04	1.059591e+00	1.712968e-03	1.005660e-03	7.073079e-04
2             	2.420226e-04	1.654060e+00	1.175818e-03	8.299314e-04	3.458861e-04
3             	2.810954e-04	2.276504e+00	1.033545e-03	7.978679e-04	2.356772e-04
4             	4.310123e-04	2.517223e+00	1.388756e-03	1.125390e-03	2.633655e-04
5             	4.509575e-04	2.426360e+00	2.150837e-03	1.526376e-03	6.244608e-04
6             	2.976307e-04	2.160716e+00	3.059324e-03	1.827292e-03	1.232031e-03
7             	1.137385e-04	1.855335e+00	2.834168e-03	1.530823e-03	1.303346e-03
8             	5.398249e-05	1.620299e+00	1.368306e-03	7.381353e-04	6.301703e-04
9             	2.426387e-05	1.497774e+00	-5.101169e-04	-2.307946e-04	-2.793223e-04
10            	5.165937e-05	1.472640e+00	-1.597206e-03	-7.469435e-04	-8.502622e-04
11            	1.047206e-04	1.505605e+00	-1.567899e-03	-6.792287e-04	-8.886699e-04
12            	1.034914e-04	1.562335e+00	-6.271749e-04	-2.100961e-04	-4.170788e-04
13            	9.932304e-06	1.609867e+00	6.897331e-04	3.547989e-04	3.349343e-04
14            	-1.121938e-04	1.630240e+00	1.674805e-03	7.252089e-04	9.495965e-04
15            	-2.584868e-04	1.624765e+00	1.904875e-03	6.939505e-04	1.210924e-03
16            	-2.865826e-04	1.598913e+00	1.973915e-03	7.003747e-04	1.273540e-03
17            	-2.279661e-04	1.559065e+00	2.013652e-03	7.788601e-04	1.234792e-03
18            	-1.790405e-04	1.513771e+00	1.819489e-03	7.307042e-04	1.088785e-03
19            	-2.179580e-04	1.472636e+00	1.390851e-03	4.774673e-04	9.133832e-04
20            	-3.113091e-04	1.438674e+00	9.125971e-04	1.449895e-04	7.676076e-04
21            	-4.096683e-04	1.412326e+00	3.646461e-04	-2.273453e-04	5.919914e-04
22            	-4.888545e-04	1.393256e+00	-1.846074e-04	-5.811582e-04	3.965508e-04
23            	-5.123709e-04	1.381677e+00	-5.203355e-04	-7.725386e-04	2.522032e-04
24            	-5.325794e-04	1.376025e+00	-5.695167e-04	-8.173378e-04	2.478211e-04
25            	-4.778274e-04	1.373914e+00	-3.538279e-04	-6.547413e-04	3.009134e-04
26            	-3.395067e-04	1.372865e+00	1.357180e-04	-2.716477e-04	4.073657e-04
27            	-1.630761e-04	1.371501e+00	7.823295e-04	2.280887e-04	5.542409e-04
28            	2.220418e-05	1.369249e+00	1.398025e-03	7.212167e-04	6.768084e-04
29            	1.048136e-04	1.366290e+00	1.522457e-03	8.660423e-04	6.564152e-04
30            	1.808139e-04	1.363503e+00	1.504389e-03	9.330085e-04	5.713806e-04
31            	2.120765e-04	1.361215e+00	1.348212e-03	8.861823e-04	4.620292e-04
32            	1.126430e-04	1.359433e+00	9.575688e-04	5.914274e-04	3.661413e-04
33            	-2.788791e-05	1.357945e+00	4.600014e-04	2.021128e-04	2.578886e-04
34            	-1.262390e-04	1.356438e+00	1.807588e-04	-3.585966e-05	2.166184e-04
