# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (7.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	2.902812e-04	9.776127e-01	5.876384e-04	5.841004e-04	3.538051e-06
2             	4.971659e-04	1.665852e+00	3.405286e-03	2.199809e-03	1.205477e-03
3             	3.638832e-04	2.284888e+00	4.560760e-03	2.644263e-03	1.916497e-03
4             	-3.480249e-04	2.497902e+00	3.300166e-03	1.302058e-03	1.998108e-03
5             	-9.300974e-04	2.361408e+00	6.503593e-05	-8.975795e-04	9.626154e-04
6             	-1.281979e-03	2.047001e+00	-2.523970e-03	-2.543964e-03	1.999370e-05
7             	-1.229747e-03	1.709676e+00	-3.069851e-03	-2.764673e-03	-3.051789e-04
8             	-8.849961e-04	1.458858e+00	-1.853758e-03	-1.811875e-03	-4.188315e-05
9             	-4.812382e-04	1.330143e+00	3.739319e-04	-2.942723e-04	6.682042e-04
10            	-6.372358e-05	1.302480e+00	2.697903e-03	1.285228e-03	1.412675e-03
11            	3.014508e-04	1.332075e+00	4.308270e-03	2.455586e-03	1.852684e-03
12            	4.784956e-04	1.379231e+00	4.724951e-03	2.840971e-03	1.883980e-03
13            	4.801496e-04	1.415049e+00	3.680271e-03	2.320285e-03	1.359986e-03
14            	3.644656e-04	1.426304e+00	1.874629e-03	1.301780e-03	5.728488e-04
15            	2.016122e-04	1.415865e+00	2.338375e-04	3.185309e-04	-8.469344e-05
16            	7.116988e-05	1.389584e+00	-6.578090e-04	-2.577346e-04	-4.000744e-04
17            	-2.694639e-05	1.353823e+00	-1.011455e-03	-5.326738e-04	-4.787811e-04
18            	-9.346200e-05	1.316513e+00	-7.591121e-04	-4.730181e-04	-2.860940e-04
19            	-1.320655e-04	1.287415e+00	-4.247710e-05	-1.533041e-04	1.108270e-04
20            	-1.729363e-04	1.268803e+00	8.080644e-04	2.310959e-04	5.769685e-04
21            	-1.524137e-04	1.259819e+00	1.550483e-03	6.228276e-04	9.276550e-04
22            	-6.164283e-05	1.255545e+00	1.983094e-03	9.299041e-04	1.053190e-03
23            	6.742690e-05	1.253111e+00	1.963448e-03	1.049151e-03	9.142969e-04
24            	1.713350e-04	1.248858e+00	1.595315e-03	9.689925e-04	6.263224e-04
25            	1.940418e-04	1.240973e+00	1.050419e-03	7.192513e-04	3.311677e-04
26            	2.065451e-04	1.229325e+00	5.884956e-04	5.007929e-04	8.770268e-05
27            	1.645516e-04	1.215578e+00	1.730409e-04	2.510721e-04	-7.803115e-05
28            	1.240693e-04	1.201163e+00	-1.828572e-06	1.231550e-04	-1.249835e-04
29            	7.494649e-05	1.186221e+00	-4.843002e-05	5.073148e-05	-9.916150e-05
30            	3.618300e-05	1.171901e+00	1.156761e-05	4.196681e-05	-3.039920e-05
31            	5.402597e-06	1.158046e+00	1.102000e-04	6.050262e-05	4.969743e-05
32            	-1.119300e-05	1.144834e+00	2.479408e-04	1.127774e-04	1.351634e-04
33            	-8.870879e-07	1.132801e+00	5.048547e-04	2.515403e-04	2.533144e-04
34            	1.297251e-06	1.122664e+00	6.240826e-04	3.133386e-04	3.107441e-04
