# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (7.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
10.7005       	-2.124546e-02	1.055807e+00	1.925474e-01	7.502825e-02	1.175192e-01
10.701        	-2.121439e-02	1.056405e+00	1.927413e-01	7.515626e-02	1.175850e-01
10.7015       	-2.099879e-02	1.056094e+00	1.934087e-01	7.570556e-02	1.177031e-01
10.702        	-2.095886e-02	1.056817e+00	1.936272e-01	7.585476e-02	1.177725e-01
10.7025       	-2.068829e-02	1.056725e+00	1.943097e-01	7.646658e-02	1.178432e-01
10.703        	-2.063088e-02	1.057327e+00	1.945353e-01	7.663676e-02	1.178985e-01
10.7035       	-2.048042e-02	1.057266e+00	1.949884e-01	7.701377e-02	1.179746e-01
10.704        	-2.035777e-02	1.057873e+00	1.952938e-01	7.728913e-02	1.180047e-01
10.7045       	-2.019055e-02	1.057869e+00	1.957096e-01	7.766426e-02	1.180454e-01
10.705        	-2.013987e-02	1.058182e+00	1.960998e-01	7.791003e-02	1.181898e-01
10.7055       	-1.990893e-02	1.058105e+00	1.968377e-01	7.850990e-02	1.183278e-01
10.706        	-1.976611e-02	1.058792e+00	1.971029e-01	7.878533e-02	1.183175e-01
10.7065       	-1.953850e-02	1.058745e+00	1.977111e-01	7.931707e-02	1.183941e-01
10.707        	-1.947016e-02	1.059406e+00	1.980790e-01	7.956935e-02	1.185097e-01
10.7075       	-1.926538e-02	1.059098e+00	1.987951e-01	8.013218e-02	1.186629e-01
10.708        	-1.921315e-02	1.059655e+00	1.989655e-01	8.026963e-02	1.186959e-01
10.7085       	-1.899353e-02	1.059412e+00	1.996546e-01	8.083377e-02	1.188208e-01
10.709        	-1.887078e-02	1.060013e+00	2.000293e-01	8.114389e-02	1.188854e-01
10.7095       	-1.864324e-02	1.059866e+00	2.004612e-01	8.158739e-02	1.188739e-01
10.71         	-1.845386e-02	1.060469e+00	2.008712e-01	8.198174e-02	1.188895e-01
10.7105       	-1.824403e-02	1.060371e+00	2.013517e-01	8.243180e-02	1.189199e-01
10.711        	-1.813543e-02	1.060922e+00	2.016357e-01	8.268244e-02	1.189533e-01
10.7115       	-1.793636e-02	1.060406e+00	2.024829e-01	8.330511e-02	1.191778e-01
10.712        	-1.783009e-02	1.061055e+00	2.025708e-01	8.345531e-02	1.191155e-01
10.7125       	-1.748676e-02	1.060744e+00	2.034569e-01	8.424168e-02	1.192152e-01
10.713        	-1.740517e-02	1.061483e+00	2.037342e-01	8.446192e-02	1.192722e-01
10.7135       	-1.702369e-02	1.061236e+00	2.045738e-01	8.526323e-02	1.193106e-01
10.714        	-1.704845e-02	1.061758e+00	2.045269e-01	8.521499e-02	1.193119e-01
10.7145       	-1.677692e-02	1.061314e+00	2.053214e-01	8.588376e-02	1.194376e-01
10.715        	-1.679489e-02	1.061896e+00	2.053561e-01	8.588318e-02	1.194730e-01
10.7155       	-1.650210e-02	1.061585e+00	2.060929e-01	8.654433e-02	1.195485e-01
10.716        	-1.636178e-02	1.062450e+00	2.062644e-01	8.677040e-02	1.194940e-01
10.7165       	-1.610952e-02	1.062089e+00	2.070525e-01	8.741675e-02	1.196358e-01
10.717        	-1.599472e-02	1.062899e+00	2.071724e-01	8.759149e-02	1.195809e-01
10.7175       	-1.584914e-02	1.062335e+00	2.079409e-01	8.812132e-02	1.198196e-01
10.718        	-1.583184e-02	1.062867e+00	2.079547e-01	8.814550e-02	1.198092e-01
10.7185       	-1.548118e-02	1.062580e+00	2.088472e-01	8.894244e-02	1.199048e-01
10.719        	-1.551118e-02	1.063354e+00	2.087425e-01	8.886008e-02	1.198824e-01
10.7195       	-1.503667e-02	1.063057e+00	2.097517e-01	8.983916e-02	1.199125e-01
10.72         	-1.511003e-02	1.063786e+00	2.096461e-01	8.971303e-02	1.199331e-01
10.7205       	-1.472623e-02	1.063414e+00	2.107694e-01	9.065846e-02	1.201109e-01
10.721        	-1.479051e-02	1.063738e+00	2.107476e-01	9.058327e-02	1.201643e-01
10.7215       	-1.454372e-02	1.063564e+00	2.115664e-01	9.123947e-02	1.203269e-01
10.722        	-1.445278e-02	1.063927e+00	2.117397e-01	9.141708e-02	1.203226e-01
10.7225       	-1.421013e-02	1.064201e+00	2.124440e-01	9.201190e-02	1.204322e-01
10.723        	-1.397350e-02	1.064446e+00	2.128390e-01	9.244600e-02	1.203930e-01
10.7235       	-1.385576e-02	1.064600e+00	2.132113e-01	9.274992e-02	1.204614e-01
10.724        	-1.369168e-02	1.064528e+00	2.136966e-01	9.315664e-02	1.205400e-01
10.7245       	-1.366624e-02	1.064676e+00	2.138139e-01	9.324069e-02	1.205732e-01
10.725        	-1.338226e-02	1.064624e+00	2.145303e-01	9.388287e-02	1.206474e-01
10.7255       	-1.331736e-02	1.065114e+00	2.147143e-01	9.403976e-02	1.206745e-01
10.726        	-1.301299e-02	1.065142e+00	2.154028e-01	9.468843e-02	1.207144e-01
10.7265       	-1.285971e-02	1.065477e+00	2.159952e-01	9.513788e-02	1.208573e-01
10.727        	-1.266917e-02	1.065500e+00	2.165002e-01	9.558091e-02	1.209192e-01
10.7275       	-1.244065e-02	1.065555e+00	2.171707e-01	9.614472e-02	1.210260e-01
10.728        	-1.238981e-02	1.065532e+00	2.173385e-01	9.627945e-02	1.210591e-01
10.7285       	-1.213669e-02	1.065572e+00	2.180594e-01	9.689300e-02	1.211664e-01
10.729        	-1.198176e-02	1.065705e+00	2.184498e-01	9.724315e-02	1.212067e-01
10.7295       	-1.171432e-02	1.065967e+00	2.190477e-01	9.780955e-02	1.212382e-01
10.73         	-1.149182e-02	1.066101e+00	2.194196e-01	9.821797e-02	1.212016e-01
10.7305       	-1.128108e-02	1.065961e+00	2.201010e-01	9.876944e-02	1.213316e-01
10.731        	-1.116766e-02	1.065900e+00	2.204913e-01	9.907798e-02	1.214133e-01
10.7315       	-1.095305e-02	1.065833e+00	2.210838e-01	9.958885e-02	1.214950e-01
10.732        	-1.077046e-02	1.065989e+00	2.215921e-01	1.000256e-01	1.215665e-01
10.7325       	-1.046860e-02	1.066144e+00	2.222818e-01	1.006723e-01	1.216095e-01
10.733        	-1.030160e-02	1.066469e+00	2.227087e-01	1.010527e-01	1.216559e-01
10.7335       	-1.001931e-02	1.066518e+00	2.235394e-01	1.017504e-01	1.217890e-01
10.734        	-9.971847e-03	1.066684e+00	2.236874e-01	1.018719e-01	1.218156e-01
10.7345       	-9.702675e-03	1.066370e+00	2.245048e-01	1.025497e-01	1.219551e-01
10.735        	-9.593857e-03	1.066555e+00	2.247661e-01	1.027892e-01	1.219769e-01
10.7355       	-9.275903e-03	1.066532e+00	2.255274e-01	1.034878e-01	1.220396e-01
10.736        	-9.185315e-03	1.066856e+00	2.256646e-01	1.036470e-01	1.220176e-01
10.7365       	-8.785724e-03	1.067063e+00	2.264507e-01	1.044396e-01	1.220111e-01
10.737        	-8.720956e-03	1.067238e+00	2.268326e-01	1.046953e-01	1.221372e-01
10.7375       	-8.485671e-03	1.067149e+00	2.276153e-01	1.053220e-01	1.222933e-01
10.738        	-8.361177e-03	1.067220e+00	2.280058e-01	1.056417e-01	1.223641e-01
10.7385       	-8.081500e-03	1.067300e+00	2.285733e-01	1.062052e-01	1.223682e-01
10.739        	-7.924712e-03	1.067445e+00	2.290559e-01	1.066032e-01	1.224527e-01
10.7395       	5.745078e-03	1.163210e+00	2.445140e-01	1.280021e-01	1.165119e-01
10.74         	1.062150e-03	1.142704e+00	2.397768e-01	1.209506e-01	1.188262e-01
10.7405       	-1.139673e-03	1.127959e+00	2.382914e-01	1.180060e-01	1.202854e-01
10.741        	-2.840893e-03	1.115160e+00	2.364475e-01	1.153828e-01	1.210646e-01
10.7415       	-3.461872e-03	1.108455e+00	2.360780e-01	1.145771e-01	1.215009e-01
10.742        	-3.942156e-03	1.102603e+00	2.358550e-01	1.139853e-01	1.218697e-01
10.7425       	-3.994147e-03	1.100059e+00	2.361542e-01	1.140830e-01	1.220712e-01
10.743        	-3.849446e-03	1.097807e+00	2.363244e-01	1.143127e-01	1.220116e-01
10.7435       	-3.624896e-03	1.096055e+00	2.370436e-01	1.148969e-01	1.221467e-01
10.744        	-3.444142e-03	1.094392e+00	2.373709e-01	1.152413e-01	1.221296e-01
10.7445       	-3.207921e-03	1.092584e+00	2.380914e-01	1.158378e-01	1.222536e-01
10.745        	-3.255836e-03	1.091060e+00	2.383361e-01	1.159122e-01	1.224239e-01
10.7455       	-3.151841e-03	1.089650e+00	2.388406e-01	1.162684e-01	1.225721e-01
10.746        	-3.084666e-03	1.088345e+00	2.392201e-01	1.165254e-01	1.226947e-01
10.7465       	-3.079783e-03	1.087259e+00	2.393756e-01	1.166080e-01	1.227676e-01
10.747        	-2.945628e-03	1.086185e+00	2.397934e-01	1.169511e-01	1.228423e-01
10.7475       	-2.890023e-03	1.085272e+00	2.398866e-01	1.170533e-01	1.228333e-01
10.748        	-2.684955e-03	1.084148e+00	2.404511e-01	1.175406e-01	1.229105e-01
10.7485       	-2.540706e-03	1.083339e+00	2.409009e-01	1.179097e-01	1.229912e-01
10.749        	-2.307089e-03	1.082476e+00	2.414697e-01	1.184278e-01	1.230420e-01
10.7495       	-2.130479e-03	1.081748e+00	2.421294e-01	1.189342e-01	1.231952e-01
10.75         	-1.860159e-03	1.081054e+00	2.427942e-01	1.195370e-01	1.232573e-01
10.7505       	-1.670515e-03	1.080369e+00	2.432599e-01	1.199594e-01	1.233004e-01
10.751        	-1.389700e-03	1.079788e+00	2.439542e-01	1.205874e-01	1.233668e-01
10.7515       	-1.234136e-03	1.079118e+00	2.444384e-01	1.209851e-01	1.234533e-01
10.752        	-9.413869e-04	1.078621e+00	2.450176e-01	1.215674e-01	1.234502e-01
10.7525       	-8.324611e-04	1.077923e+00	2.453991e-01	1.218671e-01	1.235320e-01
10.753        	-5.208535e-04	1.077509e+00	2.460370e-01	1.224977e-01	1.235394e-01
10.7535       	-3.472209e-04	1.077036e+00	2.465125e-01	1.229090e-01	1.236035e-01
10.754        	2.424102e-05	1.076707e+00	2.472441e-01	1.236463e-01	1.235978e-01
10.7545       	1.914547e-04	1.076245e+00	2.477583e-01	1.240706e-01	1.236877e-01
10.755        	5.108025e-04	1.075852e+00	2.484445e-01	1.247331e-01	1.237115e-01
10.7555       	6.643692e-04	1.075420e+00	2.488780e-01	1.251034e-01	1.237746e-01
10.756        	9.694482e-04	1.074990e+00	2.494751e-01	1.257070e-01	1.237681e-01
10.7565       	1.152141e-03	1.074679e+00	2.499122e-01	1.261082e-01	1.238040e-01
10.757        	1.444201e-03	1.074305e+00	2.505033e-01	1.266959e-01	1.238075e-01
10.7575       	1.617200e-03	1.074108e+00	2.509755e-01	1.271050e-01	1.238706e-01
10.758        	1.894549e-03	1.073858e+00	2.516324e-01	1.277107e-01	1.239216e-01
10.7585       	2.105177e-03	1.073567e+00	2.522992e-01	1.282548e-01	1.240444e-01
10.759        	2.354674e-03	1.073178e+00	2.529229e-01	1.288161e-01	1.241068e-01
10.7595       	2.577354e-03	1.072996e+00	2.533859e-01	1.292703e-01	1.241156e-01
10.76         	2.827367e-03	1.072765e+00	2.539379e-01	1.297963e-01	1.241416e-01
10.7605       	3.126409e-03	1.072602e+00	2.546009e-01	1.304269e-01	1.241741e-01
10.761        	3.339721e-03	1.072418e+00	2.551962e-01	1.309378e-01	1.242584e-01
10.7615       	3.613740e-03	1.072319e+00	2.559550e-01	1.315912e-01	1.243638e-01
10.762        	3.861930e-03	1.072093e+00	2.565286e-01	1.321262e-01	1.244024e-01
10.7625       	4.127890e-03	1.071901e+00	2.572919e-01	1.327739e-01	1.245181e-01
10.763        	4.358768e-03	1.071705e+00	2.576031e-01	1.331603e-01	1.244428e-01
10.7635       	4.655446e-03	1.071587e+00	2.582769e-01	1.337939e-01	1.244830e-01
10.764        	4.829837e-03	1.071309e+00	2.587809e-01	1.342203e-01	1.245606e-01
10.7645       	5.160576e-03	1.071164e+00	2.595201e-01	1.349206e-01	1.245995e-01
10.765        	5.330487e-03	1.071132e+00	2.599199e-01	1.352904e-01	1.246295e-01
10.7655       	5.743407e-03	1.070942e+00	2.607234e-01	1.361051e-01	1.246183e-01
10.766        	5.900498e-03	1.070971e+00	2.611757e-01	1.364884e-01	1.246874e-01
10.7665       	6.331981e-03	1.070715e+00	2.618852e-01	1.372746e-01	1.246106e-01
10.767        	6.447330e-03	1.070664e+00	2.622872e-01	1.375910e-01	1.246963e-01
10.7675       	6.872513e-03	1.070415e+00	2.630535e-01	1.383993e-01	1.246543e-01
10.768        	6.939346e-03	1.070418e+00	2.633285e-01	1.386036e-01	1.247249e-01
10.7685       	7.335061e-03	1.070049e+00	2.641412e-01	1.394057e-01	1.247355e-01
10.769        	7.423699e-03	1.070103e+00	2.644601e-01	1.396537e-01	1.248064e-01
10.7695       	7.810024e-03	1.069746e+00	2.653630e-01	1.404915e-01	1.248715e-01
10.77         	7.989718e-03	1.069748e+00	2.659201e-01	1.409498e-01	1.249704e-01
10.7705       	8.331643e-03	1.069575e+00	2.666581e-01	1.416607e-01	1.249974e-01
10.771        	8.515042e-03	1.069520e+00	2.671361e-01	1.420831e-01	1.250530e-01
10.7715       	8.830284e-03	1.069303e+00	2.677876e-01	1.427241e-01	1.250635e-01
10.772        	9.013933e-03	1.069075e+00	2.681808e-01	1.431044e-01	1.250765e-01
10.7725       	9.324159e-03	1.068754e+00	2.688420e-01	1.437452e-01	1.250968e-01
10.773        	9.459857e-03	1.068584e+00	2.693930e-01	1.441564e-01	1.252366e-01
10.7735       	9.805154e-03	1.068508e+00	2.700340e-01	1.448222e-01	1.252119e-01
10.774        	9.951512e-03	1.068381e+00	2.703086e-01	1.451058e-01	1.252028e-01
10.7745       	1.031212e-02	1.068286e+00	2.709680e-01	1.457961e-01	1.251719e-01
10.775        	1.045933e-02	1.068167e+00	2.713748e-01	1.461467e-01	1.252281e-01
10.7755       	1.076891e-02	1.067930e+00	2.720601e-01	1.467989e-01	1.252611e-01
10.776        	1.086467e-02	1.067670e+00	2.723402e-01	1.470348e-01	1.253055e-01
10.7765       	1.112356e-02	1.067509e+00	2.729508e-01	1.475990e-01	1.253518e-01
10.777        	1.125596e-02	1.067148e+00	2.734817e-01	1.479968e-01	1.254849e-01
10.7775       	1.157773e-02	1.067262e+00	2.741913e-01	1.486734e-01	1.255179e-01
10.778        	1.179004e-02	1.066897e+00	2.745659e-01	1.490730e-01	1.254929e-01
10.7785       	1.198301e-02	1.067032e+00	2.748899e-01	1.494280e-01	1.254620e-01
10.779        	1.219959e-02	1.066482e+00	2.753970e-01	1.498981e-01	1.254989e-01
10.7795       	1.236563e-02	1.066583e+00	2.758802e-01	1.503057e-01	1.255744e-01
10.78         	1.260270e-02	1.065988e+00	2.764719e-01	1.508386e-01	1.256332e-01
10.7805       	1.270925e-02	1.066225e+00	2.767084e-01	1.510634e-01	1.256449e-01
