# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
6.0005        	7.269501e-02	1.289279e+01	-1.033698e+00	-4.441539e-01	-5.895439e-01
6.001         	1.084902e+01	1.569488e+04	3.578345e+02	1.897663e+02	1.680682e+02
6.0015        	3.243109e+01	-8.545392e+03	-2.998517e+02	-1.174948e+02	-1.823569e+02
6.002         	-2.799831e+01	-3.735897e+03	2.151237e+02	7.956355e+01	1.355602e+02
6.0025        	-1.533714e+01	-1.540699e+03	2.530400e+01	-2.685146e+00	2.798914e+01
6.003         	-1.129198e+00	-6.491151e+02	-1.032351e+02	-5.274675e+01	-5.048835e+01
6.0035        	1.998369e+00	-3.085430e+02	-7.355177e+01	-3.477752e+01	-3.877426e+01
6.004         	-6.380011e-02	-1.712362e+02	-3.480772e+01	-1.746766e+01	-1.734006e+01
6.0045        	-8.157350e-01	-1.112483e+02	-1.638793e+01	-9.009699e+00	-7.378229e+00
6.005         	-5.567078e-01	-7.819076e+01	-1.159155e+01	-6.352483e+00	-5.239068e+00
6.0055        	-3.846655e-01	-5.915475e+01	-8.745230e+00	-4.757280e+00	-3.987949e+00
6.006         	-3.262251e-01	-4.696063e+01	-6.669945e+00	-3.661198e+00	-3.008747e+00
6.0065        	-2.821679e-01	-3.843335e+01	-5.321478e+00	-2.942907e+00	-2.378571e+00
6.007         	-2.626124e-01	-3.201795e+01	-4.349914e+00	-2.437569e+00	-1.912344e+00
6.0075        	-2.520564e-01	-2.702357e+01	-3.616665e+00	-2.060389e+00	-1.556276e+00
6.008         	-2.508233e-01	-2.310900e+01	-3.064106e+00	-1.782877e+00	-1.281230e+00
6.0085        	-2.418085e-01	-1.995435e+01	-2.631458e+00	-1.557538e+00	-1.073921e+00
6.009         	-2.319723e-01	-1.736638e+01	-2.288969e+00	-1.376457e+00	-9.125122e-01
6.0095        	-2.251837e-01	-1.520741e+01	-2.011673e+00	-1.231020e+00	-7.806528e-01
6.01          	-2.218007e-01	-1.339359e+01	-1.787871e+00	-1.115736e+00	-6.721346e-01
6.0105        	-2.177765e-01	-1.185587e+01	-1.597402e+00	-1.016478e+00	-5.809245e-01
6.011         	-2.128902e-01	-1.053045e+01	-1.442234e+00	-9.340072e-01	-5.082269e-01
6.0115        	-2.091798e-01	-9.382733e+00	-1.310460e+00	-8.644096e-01	-4.460500e-01
6.012         	-2.054683e-01	-8.389409e+00	-1.195722e+00	-8.033294e-01	-3.923927e-01
6.0125        	-2.016311e-01	-7.518671e+00	-1.096560e+00	-7.499109e-01	-3.466487e-01
6.013         	-1.985869e-01	-6.755716e+00	-1.011141e+00	-7.041574e-01	-3.069835e-01
6.0135        	-1.951669e-01	-6.079761e+00	-9.376496e-01	-6.639917e-01	-2.736579e-01
6.014         	-1.922553e-01	-5.477781e+00	-8.746483e-01	-6.295795e-01	-2.450688e-01
6.0145        	-1.902549e-01	-4.942560e+00	-8.172147e-01	-5.988623e-01	-2.183524e-01
6.015         	-1.886583e-01	-4.464287e+00	-7.663308e-01	-5.718237e-01	-1.945072e-01
6.0155        	-1.873487e-01	-4.035715e+00	-7.204140e-01	-5.475557e-01	-1.728584e-01
6.016         	-1.866141e-01	-3.649162e+00	-6.800466e-01	-5.266374e-01	-1.534092e-01
6.0165        	-1.860845e-01	-3.299852e+00	-6.438212e-01	-5.079951e-01	-1.358261e-01
6.017         	-1.853015e-01	-2.983748e+00	-6.109335e-01	-4.907683e-01	-1.201652e-01
6.0175        	-1.843287e-01	-2.695598e+00	-5.814806e-01	-4.750690e-01	-1.064116e-01
6.018         	-1.835380e-01	-2.431374e+00	-5.550059e-01	-4.610409e-01	-9.396493e-02
6.0185        	-1.826683e-01	-2.189823e+00	-5.308226e-01	-4.480795e-01	-8.274302e-02
6.019         	-1.821159e-01	-1.968551e+00	-5.085385e-01	-4.363852e-01	-7.215337e-02
6.0195        	-1.811340e-01	-1.766153e+00	-4.885129e-01	-4.253904e-01	-6.312248e-02
6.02          	-1.803706e-01	-1.579867e+00	-4.697225e-01	-4.152319e-01	-5.449061e-02
6.0205        	-1.796373e-01	-1.407461e+00	-4.520716e-01	-4.056731e-01	-4.639849e-02
6.021         	-1.790013e-01	-1.247304e+00	-4.360036e-01	-3.970031e-01	-3.900052e-02
6.0215        	-1.781594e-01	-1.098685e+00	-4.210132e-01	-3.886660e-01	-3.234717e-02
6.022         	-1.776006e-01	-9.602693e-01	-4.071760e-01	-3.811885e-01	-2.598743e-02
6.0225        	-1.768955e-01	-8.316855e-01	-3.937328e-01	-3.737619e-01	-1.997089e-02
6.023         	-1.762691e-01	-7.125556e-01	-3.818708e-01	-3.672045e-01	-1.466627e-02
6.0235        	-1.756814e-01	-6.007677e-01	-3.703917e-01	-3.608773e-01	-9.514413e-03
6.024         	-1.752008e-01	-4.959530e-01	-3.597928e-01	-3.550972e-01	-4.695572e-03
6.0245        	-1.747472e-01	-3.977973e-01	-3.501608e-01	-3.498276e-01	-3.332085e-04
6.025         	-1.742679e-01	-3.059925e-01	-3.407059e-01	-3.446209e-01	3.914997e-03
