# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (7.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	2.270108e-04	7.642306e-01	2.379190e-04	3.459703e-04	-1.080513e-04
2             	3.863223e-04	1.215816e+00	3.063031e-03	1.917838e-03	1.145193e-03
3             	2.585444e-04	1.662435e+00	5.276947e-03	2.897018e-03	2.379929e-03
4             	-2.848250e-04	1.831401e+00	6.140465e-03	2.785408e-03	3.355058e-03
5             	-7.637838e-04	1.745166e+00	5.680393e-03	2.076413e-03	3.603980e-03
6             	-1.056169e-03	1.524457e+00	5.519508e-03	1.703585e-03	3.815923e-03
7             	-1.027662e-03	1.282714e+00	6.867334e-03	2.406005e-03	4.461330e-03
8             	-7.505949e-04	1.098627e+00	1.005281e-02	4.275808e-03	5.776997e-03
9             	-3.850656e-04	1.001548e+00	1.455662e-02	6.893242e-03	7.663373e-03
10            	-9.421989e-05	9.782304e-01	1.936299e-02	9.587273e-03	9.775713e-03
11            	9.557375e-05	9.961489e-01	2.393699e-02	1.206407e-02	1.187292e-02
12            	1.441740e-04	1.025486e+00	2.844716e-02	1.436775e-02	1.407941e-02
13            	3.462777e-05	1.046376e+00	3.342184e-02	1.674555e-02	1.667629e-02
14            	-1.584426e-04	1.047319e+00	3.919323e-02	1.943817e-02	1.975506e-02
15            	-4.136916e-04	1.031360e+00	4.672682e-02	2.294972e-02	2.377710e-02
16            	-8.071232e-04	1.004941e+00	5.686161e-02	2.762368e-02	2.923793e-02
17            	-1.292805e-03	9.734513e-01	6.980756e-02	3.361097e-02	3.619658e-02
18            	-1.988938e-03	9.426010e-01	8.538022e-02	4.070117e-02	4.467905e-02
19            	-2.892257e-03	9.193724e-01	1.035781e-01	4.889677e-02	5.468129e-02
20            	-3.983860e-03	9.057904e-01	1.243956e-01	5.821396e-02	6.618168e-02
21            	-5.248692e-03	9.016101e-01	1.464258e-01	6.796419e-02	7.846157e-02
22            	-6.789154e-03	9.039456e-01	1.689624e-01	7.769205e-02	9.127035e-02
23            	-8.580824e-03	9.104981e-01	1.912342e-01	8.703628e-02	1.041979e-01
24            	-1.056397e-02	9.188330e-01	2.135149e-01	9.619348e-02	1.173214e-01
25            	-1.265648e-02	9.263746e-01	2.359801e-01	1.053335e-01	1.306465e-01
26            	-1.476197e-02	9.328395e-01	2.591234e-01	1.147998e-01	1.443237e-01
27            	-1.669732e-02	9.384461e-01	2.831998e-01	1.249026e-01	1.582972e-01
28            	-1.819014e-02	9.437322e-01	3.087925e-01	1.362061e-01	1.725864e-01
29            	-1.918681e-02	9.484609e-01	3.357759e-01	1.487011e-01	1.870747e-01
30            	-1.956078e-02	9.529168e-01	3.640334e-01	1.624559e-01	2.015775e-01
31            	-1.942210e-02	9.567575e-01	3.939190e-01	1.775374e-01	2.163816e-01
32            	-1.881630e-02	9.595648e-01	4.262911e-01	1.943292e-01	2.319618e-01
33            	-1.797733e-02	9.613548e-01	4.605322e-01	2.122888e-01	2.482434e-01
34            	-1.698087e-02	9.625420e-01	4.964993e-01	2.312688e-01	2.652305e-01
35            	-1.597540e-02	9.635046e-01	5.333263e-01	2.506878e-01	2.826386e-01
36            	-1.514040e-02	9.643661e-01	5.698772e-01	2.697982e-01	3.000790e-01
37            	-1.464988e-02	9.651546e-01	6.050893e-01	2.878948e-01	3.171945e-01
38            	-1.462895e-02	9.658995e-01	6.388080e-01	3.047751e-01	3.340330e-01
39            	-1.519179e-02	9.665188e-01	6.710104e-01	3.203134e-01	3.506970e-01
40            	-1.652581e-02	9.671530e-01	7.014126e-01	3.341805e-01	3.672321e-01
41            	-1.863539e-02	9.678736e-01	7.300601e-01	3.463947e-01	3.836655e-01
42            	-2.135545e-02	9.687916e-01	7.568767e-01	3.570829e-01	3.997938e-01
43            	-2.451195e-02	9.698976e-01	7.817443e-01	3.663602e-01	4.153841e-01
44            	-2.785003e-02	9.708017e-01	8.046577e-01	3.744788e-01	4.301789e-01
45            	-3.113468e-02	9.714435e-01	8.257230e-01	3.817268e-01	4.439962e-01
46            	-3.434032e-02	9.719367e-01	8.447593e-01	3.880393e-01	4.567200e-01
47            	-3.740826e-02	9.722534e-01	8.617465e-01	3.934650e-01	4.682815e-01
48            	-4.049543e-02	9.725337e-01	8.769352e-01	3.979722e-01	4.789630e-01
49            	-4.389914e-02	9.732531e-01	8.906556e-01	4.014287e-01	4.892269e-01
50            	-4.784207e-02	9.744915e-01	9.028655e-01	4.035907e-01	4.992748e-01
51            	-5.227018e-02	9.765576e-01	9.128855e-01	4.041726e-01	5.087130e-01
52            	-5.687171e-02	9.796779e-01	9.202462e-01	4.032514e-01	5.169948e-01
53            	-6.143982e-02	9.837316e-01	9.243411e-01	4.007307e-01	5.236104e-01
54            	-6.581646e-02	9.883669e-01	9.253259e-01	3.968465e-01	5.284794e-01
55            	-6.991505e-02	9.936572e-01	9.233692e-01	3.917695e-01	5.315997e-01
56            	-7.374432e-02	9.996746e-01	9.187117e-01	3.856115e-01	5.331002e-01
57            	-7.744854e-02	1.005864e+00	9.125299e-01	3.788164e-01	5.337135e-01
58            	-8.106855e-02	1.011969e+00	9.054861e-01	3.716745e-01	5.338116e-01
59            	-8.452219e-02	1.018555e+00	8.976927e-01	3.643241e-01	5.333685e-01
60            	-8.776458e-02	1.026003e+00	8.892941e-01	3.568824e-01	5.324116e-01
61            	-9.080301e-02	1.034241e+00	8.800813e-01	3.492376e-01	5.308436e-01
62            	-9.359868e-02	1.043163e+00	8.698794e-01	3.413410e-01	5.285384e-01
63            	-9.598491e-02	1.052679e+00	8.586408e-01	3.333355e-01	5.253053e-01
64            	-9.779009e-02	1.062492e+00	8.471230e-01	3.257714e-01	5.213516e-01
65            	-9.892225e-02	1.072199e+00	8.360278e-01	3.190917e-01	5.169362e-01
66            	-9.931863e-02	1.081775e+00	8.257008e-01	3.135318e-01	5.121690e-01
67            	-9.904214e-02	1.091379e+00	8.162392e-01	3.090775e-01	5.071617e-01
68            	-9.813615e-02	1.101006e+00	8.079221e-01	3.058249e-01	5.020972e-01
69            	-9.664887e-02	1.110647e+00	8.008544e-01	3.037783e-01	4.970761e-01
70            	-9.468701e-02	1.120674e+00	7.948861e-01	3.027560e-01	4.921300e-01
71            	-9.233355e-02	1.131031e+00	7.902058e-01	3.027693e-01	4.874364e-01
72            	-8.977156e-02	1.141866e+00	7.866826e-01	3.035697e-01	4.831129e-01
73            	-8.717010e-02	1.153289e+00	7.838565e-01	3.047582e-01	4.790984e-01
74            	-8.459161e-02	1.165114e+00	7.814848e-01	3.061508e-01	4.753340e-01
75            	-8.206154e-02	1.177261e+00	7.793570e-01	3.076169e-01	4.717400e-01
76            	-7.963865e-02	1.189705e+00	7.771626e-01	3.089426e-01	4.682199e-01
77            	-7.733941e-02	1.202618e+00	7.747679e-01	3.100445e-01	4.647234e-01
78            	-7.518692e-02	1.215988e+00	7.721071e-01	3.108666e-01	4.612405e-01
79            	-7.318489e-02	1.229737e+00	7.690114e-01	3.113208e-01	4.576906e-01
80            	-7.133899e-02	1.243509e+00	7.653158e-01	3.113189e-01	4.539969e-01
81            	-6.964752e-02	1.256840e+00	7.609893e-01	3.108471e-01	4.501422e-01
82            	-6.813535e-02	1.269346e+00	7.560757e-01	3.099025e-01	4.461732e-01
83            	-6.683597e-02	1.280451e+00	7.506751e-01	3.085016e-01	4.421735e-01
84            	-6.574826e-02	1.289857e+00	7.450279e-01	3.067657e-01	4.382622e-01
85            	-6.489991e-02	1.297477e+00	7.390713e-01	3.046357e-01	4.344356e-01
86            	-6.433158e-02	1.303436e+00	7.324728e-01	3.019048e-01	4.305680e-01
87            	-6.406419e-02	1.307859e+00	7.247955e-01	2.983336e-01	4.264620e-01
88            	-6.408052e-02	1.310842e+00	7.157500e-01	2.937945e-01	4.219555e-01
89            	-6.436058e-02	1.312404e+00	7.053104e-01	2.882946e-01	4.170158e-01
90            	-6.487789e-02	1.312625e+00	6.936072e-01	2.819257e-01	4.116815e-01
91            	-6.564679e-02	1.311716e+00	6.805168e-01	2.746116e-01	4.059052e-01
92            	-6.664076e-02	1.309988e+00	6.661584e-01	2.664384e-01	3.997199e-01
93            	-6.778192e-02	1.307692e+00	6.511860e-01	2.578111e-01	3.933749e-01
94            	-6.904541e-02	1.305011e+00	6.361535e-01	2.490313e-01	3.871221e-01
95            	-7.041414e-02	1.302318e+00	6.213647e-01	2.402682e-01	3.810965e-01
96            	-7.184132e-02	1.300036e+00	6.071817e-01	2.317495e-01	3.754322e-01
97            	-7.325153e-02	1.298444e+00	5.938577e-01	2.236773e-01	3.701804e-01
98            	-7.455076e-02	1.297617e+00	5.820632e-01	2.164808e-01	3.655823e-01
99            	-7.571969e-02	1.297675e+00	5.712912e-01	2.099259e-01	3.613653e-01
100           	-7.670549e-02	1.298636e+00	5.616746e-01	2.041318e-01	3.575428e-01
101           	-7.745842e-02	1.300518e+00	5.533638e-01	1.992235e-01	3.541403e-01
102           	-7.795531e-02	1.303156e+00	5.464790e-01	1.952842e-01	3.511948e-01
103           	-7.821024e-02	1.306239e+00	5.410912e-01	1.923354e-01	3.487559e-01
104           	-7.824240e-02	1.309508e+00	5.371650e-01	1.903401e-01	3.468249e-01
105           	-7.806337e-02	1.312740e+00	5.346985e-01	1.892859e-01	3.454126e-01
106           	-7.770383e-02	1.315775e+00	5.335804e-01	1.890864e-01	3.444940e-01
107           	-7.721647e-02	1.318329e+00	5.336088e-01	1.895879e-01	3.440209e-01
108           	-7.665414e-02	1.320230e+00	5.346264e-01	1.906591e-01	3.439674e-01
109           	-7.607434e-02	1.321323e+00	5.364362e-01	1.921438e-01	3.442925e-01
110           	-7.553335e-02	1.321497e+00	5.388340e-01	1.938836e-01	3.449503e-01
111           	-7.507231e-02	1.320646e+00	5.416040e-01	1.957297e-01	3.458743e-01
112           	-7.472675e-02	1.318719e+00	5.445360e-01	1.975413e-01	3.469948e-01
113           	-7.452460e-02	1.315731e+00	5.474110e-01	1.991809e-01	3.482301e-01
114           	-7.447349e-02	1.311720e+00	5.500830e-01	2.005680e-01	3.495150e-01
115           	-7.454033e-02	1.306750e+00	5.525554e-01	2.017374e-01	3.508180e-01
116           	-7.468829e-02	1.300905e+00	5.548468e-01	2.027351e-01	3.521117e-01
117           	-7.487987e-02	1.294326e+00	5.569273e-01	2.035838e-01	3.533435e-01
118           	-7.507146e-02	1.287273e+00	5.587105e-01	2.042838e-01	3.544267e-01
119           	-7.520709e-02	1.280001e+00	5.601548e-01	2.048703e-01	3.552845e-01
120           	-7.522682e-02	1.272704e+00	5.613632e-01	2.054548e-01	3.559084e-01
121           	-7.508289e-02	1.265540e+00	5.625380e-01	2.061861e-01	3.563519e-01
122           	-7.474328e-02	1.258560e+00	5.639951e-01	2.072543e-01	3.567408e-01
123           	-7.419755e-02	1.251756e+00	5.661369e-01	2.088709e-01	3.572660e-01
124           	-7.346252e-02	1.245075e+00	5.693489e-01	2.112119e-01	3.581370e-01
125           	-7.257251e-02	1.238435e+00	5.739040e-01	2.143795e-01	3.595245e-01
126           	-7.157273e-02	1.231784e+00	5.799316e-01	2.183931e-01	3.615385e-01
127           	-7.051691e-02	1.225055e+00	5.873545e-01	2.231603e-01	3.641941e-01
128           	-6.946608e-02	1.218237e+00	5.958419e-01	2.284548e-01	3.673870e-01
129           	-6.846658e-02	1.211363e+00	6.049849e-01	2.340259e-01	3.709590e-01
130           	-6.754681e-02	1.204463e+00	6.144282e-01	2.396673e-01	3.747609e-01
131           	-6.671790e-02	1.197623e+00	6.237891e-01	2.451766e-01	3.786124e-01
132           	-6.597700e-02	1.190823e+00	6.329184e-01	2.504822e-01	3.824362e-01
133           	-6.531971e-02	1.184077e+00	6.417046e-01	2.555326e-01	3.861720e-01
134           	-6.473048e-02	1.177385e+00	6.500895e-01	2.603143e-01	3.897752e-01
135           	-6.418647e-02	1.170727e+00	6.580615e-01	2.648443e-01	3.932172e-01
136           	-6.367451e-02	1.164107e+00	6.656427e-01	2.691468e-01	3.964958e-01
137           	-6.317774e-02	1.157538e+00	6.728355e-01	2.732400e-01	3.995955e-01
138           	-6.267775e-02	1.151073e+00	6.796704e-01	2.771575e-01	4.025130e-01
139           	-6.216392e-02	1.144764e+00	6.861862e-01	2.809292e-01	4.052570e-01
140           	-6.163951e-02	1.138661e+00	6.923621e-01	2.845415e-01	4.078205e-01
141           	-6.110545e-02	1.132811e+00	6.981895e-01	2.879893e-01	4.102002e-01
142           	-6.056223e-02	1.127223e+00	7.036785e-01	2.912770e-01	4.124015e-01
143           	-6.000675e-02	1.121930e+00	7.088676e-01	2.944270e-01	4.144405e-01
144           	-5.944178e-02	1.116954e+00	7.137460e-01	2.974312e-01	4.163148e-01
145           	-5.887526e-02	1.112310e+00	7.182695e-01	3.002595e-01	4.180100e-01
146           	-5.831021e-02	1.107973e+00	7.224447e-01	3.029122e-01	4.195326e-01
147           	-5.775568e-02	1.103927e+00	7.262583e-01	3.053735e-01	4.208848e-01
148           	-5.721697e-02	1.100201e+00	7.296587e-01	3.076124e-01	4.220463e-01
149           	-5.669978e-02	1.096775e+00	7.326738e-01	3.096371e-01	4.230367e-01
150           	-5.620980e-02	1.093645e+00	7.352988e-01	3.114396e-01	4.238592e-01
151           	-5.575020e-02	1.090793e+00	7.375388e-01	3.130192e-01	4.245196e-01
152           	-5.532263e-02	1.088158e+00	7.394746e-01	3.144147e-01	4.250599e-01
153           	-5.492349e-02	1.085717e+00	7.411544e-01	3.156537e-01	4.255007e-01
154           	-5.454823e-02	1.083397e+00	7.425917e-01	3.167476e-01	4.258441e-01
155           	-5.419634e-02	1.081142e+00	7.438327e-01	3.177200e-01	4.261127e-01
156           	-5.386710e-02	1.078897e+00	7.449217e-01	3.185938e-01	4.263280e-01
157           	-5.355995e-02	1.076629e+00	7.458840e-01	3.193820e-01	4.265019e-01
158           	-5.327591e-02	1.074322e+00	7.467475e-01	3.200978e-01	4.266496e-01
159           	-5.301652e-02	1.071967e+00	7.475395e-01	3.207532e-01	4.267863e-01
160           	-5.278100e-02	1.069570e+00	7.482884e-01	3.213632e-01	4.269252e-01
161           	-5.257297e-02	1.067172e+00	7.490290e-01	3.219415e-01	4.270875e-01
162           	-5.239831e-02	1.064827e+00	7.497874e-01	3.224954e-01	4.272920e-01
163           	-5.225637e-02	1.062578e+00	7.505805e-01	3.230339e-01	4.275466e-01
164           	-5.214394e-02	1.060443e+00	7.514044e-01	3.235582e-01	4.278461e-01
165           	-5.205646e-02	1.058441e+00	7.522587e-01	3.240729e-01	4.281858e-01
166           	-5.199072e-02	1.056597e+00	7.531573e-01	3.245879e-01	4.285694e-01
167           	-5.194549e-02	1.054947e+00	7.540923e-01	3.251006e-01	4.289916e-01
168           	-5.191702e-02	1.053501e+00	7.550470e-01	3.256065e-01	4.294405e-01
169           	-5.190033e-02	1.052226e+00	7.559757e-01	3.260875e-01	4.298882e-01
170           	-5.189406e-02	1.051107e+00	7.568401e-01	3.265260e-01	4.303141e-01
171           	-5.190143e-02	1.050130e+00	7.575996e-01	3.268984e-01	4.307012e-01
172           	-5.192607e-02	1.049329e+00	7.582564e-01	3.272021e-01	4.310543e-01
173           	-5.197122e-02	1.048683e+00	7.588005e-01	3.274290e-01	4.313715e-01
174           	-5.203566e-02	1.048191e+00	7.592490e-01	3.275888e-01	4.316602e-01
175           	-5.212104e-02	1.047862e+00	7.596318e-01	3.276948e-01	4.319369e-01
176           	-5.222786e-02	1.047674e+00	7.599559e-01	3.277501e-01	4.322058e-01
177           	-5.235551e-02	1.047614e+00	7.602635e-01	3.277762e-01	4.324872e-01
178           	-5.250138e-02	1.047668e+00	7.605744e-01	3.277858e-01	4.327886e-01
179           	-5.266234e-02	1.047823e+00	7.608511e-01	3.277632e-01	4.330879e-01
180           	-5.283170e-02	1.048058e+00	7.610613e-01	3.276990e-01	4.333623e-01
181           	-5.300548e-02	1.048379e+00	7.611833e-01	3.275862e-01	4.335971e-01
182           	-5.318050e-02	1.048780e+00	7.611908e-01	3.274149e-01	4.337759e-01
183           	-5.335773e-02	1.049257e+00	7.610563e-01	3.271704e-01	4.338859e-01
184           	-5.353627e-02	1.049790e+00	7.607593e-01	3.268434e-01	4.339159e-01
185           	-5.371511e-02	1.050392e+00	7.602922e-01	3.264310e-01	4.338612e-01
186           	-5.389044e-02	1.051071e+00	7.596612e-01	3.259402e-01	4.337210e-01
187           	-5.406373e-02	1.051808e+00	7.588847e-01	3.253786e-01	4.335061e-01
188           	-5.423451e-02	1.052577e+00	7.579736e-01	3.247523e-01	4.332213e-01
189           	-5.440101e-02	1.053407e+00	7.569581e-01	3.240780e-01	4.328801e-01
190           	-5.456061e-02	1.054272e+00	7.558561e-01	3.233674e-01	4.324886e-01
191           	-5.471417e-02	1.055156e+00	7.546757e-01	3.226237e-01	4.320520e-01
192           	-5.486133e-02	1.056069e+00	7.533979e-01	3.218376e-01	4.315603e-01
193           	-5.499832e-02	1.056995e+00	7.520159e-01	3.210097e-01	4.310063e-01
194           	-5.512660e-02	1.057905e+00	7.505304e-01	3.201386e-01	4.303918e-01
195           	-5.524731e-02	1.058770e+00	7.489439e-01	3.192246e-01	4.297193e-01
196           	-5.536255e-02	1.059589e+00	7.472459e-01	3.182604e-01	4.289855e-01
197           	-5.547791e-02	1.060323e+00	7.454538e-01	3.172490e-01	4.282048e-01
198           	-5.559499e-02	1.060947e+00	7.435906e-01	3.162003e-01	4.273903e-01
199           	-5.571273e-02	1.061476e+00	7.416644e-01	3.151195e-01	4.265449e-01
200           	-5.583105e-02	1.061934e+00	7.396728e-01	3.140053e-01	4.256674e-01
201           	-5.594929e-02	1.062331e+00	7.376001e-01	3.128508e-01	4.247493e-01
202           	-5.606931e-02	1.062677e+00	7.353996e-01	3.116305e-01	4.237691e-01
203           	-5.619167e-02	1.062985e+00	7.330732e-01	3.103449e-01	4.227283e-01
204           	-5.631827e-02	1.063251e+00	7.306072e-01	3.089853e-01	4.216219e-01
205           	-5.645092e-02	1.063476e+00	7.280365e-01	3.075673e-01	4.204692e-01
206           	-5.658965e-02	1.063645e+00	7.254128e-01	3.061167e-01	4.192960e-01
207           	-5.673426e-02	1.063739e+00	7.227908e-01	3.046612e-01	4.181297e-01
208           	-5.688219e-02	1.063793e+00	7.201874e-01	3.032115e-01	4.169759e-01
209           	-5.702930e-02	1.063828e+00	7.176240e-01	3.017827e-01	4.158413e-01
210           	-5.717085e-02	1.063853e+00	7.151499e-01	3.004041e-01	4.147458e-01
211           	-5.730398e-02	1.063876e+00	7.128355e-01	2.991138e-01	4.137217e-01
212           	-5.742770e-02	1.063912e+00	7.107248e-01	2.979347e-01	4.127901e-01
213           	-5.754302e-02	1.063984e+00	7.088267e-01	2.968703e-01	4.119564e-01
214           	-5.765130e-02	1.064111e+00	7.071441e-01	2.959207e-01	4.112233e-01
215           	-5.775353e-02	1.064301e+00	7.056792e-01	2.950861e-01	4.105931e-01
216           	-5.784856e-02	1.064535e+00	7.044262e-01	2.943645e-01	4.100616e-01
217           	-5.793870e-02	1.064789e+00	7.033874e-01	2.937550e-01	4.096324e-01
218           	-5.802556e-02	1.065056e+00	7.025584e-01	2.932536e-01	4.093048e-01
219           	-5.810805e-02	1.065328e+00	7.019244e-01	2.928541e-01	4.090702e-01
220           	-5.818688e-02	1.065592e+00	7.014244e-01	2.925253e-01	4.088991e-01
221           	-5.826149e-02	1.065857e+00	7.009989e-01	2.922380e-01	4.087610e-01
222           	-5.833060e-02	1.066137e+00	7.006201e-01	2.919794e-01	4.086406e-01
223           	-5.839311e-02	1.066433e+00	7.002554e-01	2.917346e-01	4.085208e-01
224           	-5.844436e-02	1.066743e+00	6.998691e-01	2.914902e-01	4.083789e-01
225           	-5.848272e-02	1.067070e+00	6.994354e-01	2.912350e-01	4.082004e-01
226           	-5.850696e-02	1.067404e+00	6.989660e-01	2.909760e-01	4.079899e-01
227           	-5.851983e-02	1.067727e+00	6.984759e-01	2.907181e-01	4.077578e-01
228           	-5.852017e-02	1.068018e+00	6.979983e-01	2.904790e-01	4.075193e-01
229           	-5.851074e-02	1.068254e+00	6.975474e-01	2.902630e-01	4.072844e-01
230           	-5.849126e-02	1.068439e+00	6.971145e-01	2.900660e-01	4.070485e-01
231           	-5.845902e-02	1.068566e+00	6.967088e-01	2.898954e-01	4.068134e-01
232           	-5.841727e-02	1.068644e+00	6.963490e-01	2.897573e-01	4.065918e-01
233           	-5.836683e-02	1.068683e+00	6.960411e-01	2.896537e-01	4.063874e-01
234           	-5.830588e-02	1.068687e+00	6.957808e-01	2.895845e-01	4.061963e-01
235           	-5.823561e-02	1.068671e+00	6.955505e-01	2.895397e-01	4.060109e-01
236           	-5.815841e-02	1.068631e+00	6.953437e-01	2.895134e-01	4.058303e-01
237           	-5.807522e-02	1.068542e+00	6.951702e-01	2.895099e-01	4.056603e-01
238           	-5.798730e-02	1.068372e+00	6.950299e-01	2.895277e-01	4.055023e-01
239           	-5.789434e-02	1.068091e+00	6.949320e-01	2.895717e-01	4.053604e-01
240           	-5.779458e-02	1.067694e+00	6.948832e-01	2.896470e-01	4.052362e-01
241           	-5.768745e-02	1.067186e+00	6.948861e-01	2.897556e-01	4.051305e-01
242           	-5.757353e-02	1.066556e+00	6.949525e-01	2.899027e-01	4.050498e-01
243           	-5.745361e-02	1.065806e+00	6.950820e-01	2.900874e-01	4.049946e-01
244           	-5.732830e-02	1.064947e+00	6.952713e-01	2.903073e-01	4.049639e-01
245           	-5.719760e-02	1.063992e+00	6.955324e-01	2.905686e-01	4.049638e-01
246           	-5.706023e-02	1.062959e+00	6.958919e-01	2.908857e-01	4.050062e-01
247           	-5.691542e-02	1.061860e+00	6.963513e-01	2.912602e-01	4.050911e-01
248           	-5.676324e-02	1.060704e+00	6.969089e-01	2.916912e-01	4.052177e-01
249           	-5.660350e-02	1.059502e+00	6.975600e-01	2.921765e-01	4.053835e-01
250           	-5.643769e-02	1.058276e+00	6.982946e-01	2.927096e-01	4.055850e-01
251           	-5.626570e-02	1.057020e+00	6.991101e-01	2.932893e-01	4.058207e-01
252           	-5.608627e-02	1.055717e+00	7.000073e-01	2.939174e-01	4.060899e-01
253           	-5.589896e-02	1.054380e+00	7.009853e-01	2.945937e-01	4.063916e-01
254           	-5.570537e-02	1.053041e+00	7.020301e-01	2.953097e-01	4.067204e-01
255           	-5.550720e-02	1.051708e+00	7.031191e-01	2.960524e-01	4.070668e-01
256           	-5.530390e-02	1.050370e+00	7.042429e-01	2.968176e-01	4.074254e-01
257           	-5.509709e-02	1.049037e+00	7.054063e-01	2.976061e-01	4.078002e-01
258           	-5.488940e-02	1.047728e+00	7.066051e-01	2.984132e-01	4.081919e-01
259           	-5.468308e-02	1.046436e+00	7.078169e-01	2.992254e-01	4.085916e-01
260           	-5.447908e-02	1.045159e+00	7.090382e-01	3.000400e-01	4.089982e-01
261           	-5.427994e-02	1.043914e+00	7.102703e-01	3.008552e-01	4.094151e-01
262           	-5.408596e-02	1.042706e+00	7.115144e-01	3.016712e-01	4.098432e-01
263           	-5.389855e-02	1.041522e+00	7.127596e-01	3.024813e-01	4.102784e-01
264           	-5.372029e-02	1.040385e+00	7.139939e-01	3.032767e-01	4.107172e-01
265           	-5.355290e-02	1.039305e+00	7.152200e-01	3.040571e-01	4.111629e-01
266           	-5.339659e-02	1.038259e+00	7.164462e-01	3.048265e-01	4.116197e-01
267           	-5.325359e-02	1.037273e+00	7.176465e-01	3.055696e-01	4.120768e-01
268           	-5.312441e-02	1.036363e+00	7.188232e-01	3.062872e-01	4.125360e-01
269           	-5.301020e-02	1.035501e+00	7.199699e-01	3.069748e-01	4.129952e-01
270           	-5.291157e-02	1.034710e+00	7.210715e-01	3.076242e-01	4.134473e-01
271           	-5.282962e-02	1.033999e+00	7.221280e-01	3.082344e-01	4.138936e-01
272           	-5.276504e-02	1.033355e+00	7.231487e-01	3.088093e-01	4.143394e-01
273           	-5.271764e-02	1.032779e+00	7.241236e-01	3.093441e-01	4.147794e-01
274           	-5.268838e-02	1.032277e+00	7.250523e-01	3.098378e-01	4.152145e-01
275           	-5.267654e-02	1.031847e+00	7.259209e-01	3.102839e-01	4.156370e-01
276           	-5.268153e-02	1.031487e+00	7.267440e-01	3.106905e-01	4.160535e-01
277           	-5.270460e-02	1.031189e+00	7.275202e-01	3.110555e-01	4.164647e-01
278           	-5.274339e-02	1.030953e+00	7.282518e-01	3.113825e-01	4.168693e-01
279           	-5.279563e-02	1.030762e+00	7.289458e-01	3.116773e-01	4.172685e-01
280           	-5.286360e-02	1.030616e+00	7.295833e-01	3.119280e-01	4.176552e-01
281           	-5.294609e-02	1.030514e+00	7.301614e-01	3.121346e-01	4.180268e-01
